compound,tissue,time,GMF_mean,NNMF_mean,ratio_NNMF_over_GMF,log2_ratio
quercetin,root,48h,1.257,1.655,1.3166,0.3968
quercetin,root,96h,3.907,2.051,0.525,-0.9297
quercetin,leaf,24h,0.563,4.69,8.3304,3.0584
quercetin,leaf,48h,0.824,4.626,5.6141,2.489
quercetin,leaf,96h,1.152,1.66,1.441,0.527
myrcetin,root,24h,45.521,75.51,1.6588,0.7301
myrcetin,root,48h,10.801,81.156,7.5137,2.9095
myrcetin,root,96h,25.959,21.578,0.8312,-0.2667
myrcetin,leaf,24h,11.906,55.793,4.6861,2.2284
myrcetin,leaf,48h,42.007,65.23,1.5528,0.6349
myrcetin,leaf,96h,10.097,4.993,0.4945,-1.0159
isorhamnetin,root,24h,1.227,2.119,1.727,0.7882
isorhamnetin,root,48h,0.587,1.321,2.2504,1.1702
isorhamnetin,root,96h,16.277,13.013,0.7995,-0.3229
isorhamnetin,leaf,24h,33.731,157.631,4.6732,2.2244
isorhamnetin,leaf,48h,114.185,184.105,1.6123,0.6892
isorhamnetin,leaf,96h,28.523,12.893,0.452,-1.1455
dihydroquercetin,leaf,24h,7.194,28.319,3.9365,1.9769
dihydroquercetin,leaf,48h,22.336,65.631,2.9384,1.555
dihydroquercetin,leaf,96h,3.477,2.145,0.6169,-0.6969
