condition,celltype_group,singscore,wilcox_fdr,mean_log2fc,n_sig,n_measured,atlas
658_40cGy,InitialCell_root,-0.3373903353387527,0.005207905998321468,-0.4511146636639995,7,7,Han2023
658_40cGy,LRC_root,0.02487825773288845,0.4863162632566576,-0.16126943396832488,100,80,Han2023
658_40cGy,Mesophyll_shoot,-0.010733158986382942,0.7094220656183996,-0.0498785001585008,100,100,Han2023
658_40cGy,Pericycle_root,-0.23958201821625033,4.698888386035553e-16,-0.28297697295984847,100,100,Han2023
658_40cGy,Phloem_root,-0.2560898739512037,9.465594807255673e-18,-0.3360792346986684,100,98,Han2023
658_40cGy,Procambium_root,-0.09532446841942736,0.013421022698548649,-0.13681795478318637,67,66,Han2023
658_40cGy,SAM_shoot,-0.08553371208705325,0.03232908471201136,-0.09896304464464908,60,60,Han2023
658_40cGy,Trichoblast_root,-0.1552103579740705,6.134857315898599e-07,-0.24216796345205352,100,94,Han2023
658_40cGy,Unknown_root,,,,2,0,Han2023
658_40cGy,Vasculature_shoot,-0.3170842192457836,4.591578092380559e-26,-0.3588932823014363,100,97,Han2023
658_40cGy,Xylem_root,-0.20141671927135002,1.1309147960625728e-11,-0.280879887729777,100,100,Han2023
658_80cGy,Atrichoblast_root,-0.025235218083987106,0.639050882038651,-0.025180927966486542,42,42,Han2023
658_80cGy,Columella_root,-0.07148669033194238,0.17522807857116798,-0.14123331846216966,48,44,Han2023
658_80cGy,Cortex_hypocotyl_shoot,-0.04055753785854747,0.3492162562391883,-0.051694651169447284,67,67,Han2023
658_80cGy,Cortex_root,-0.017373363315578656,0.6668816163935397,-0.013530814737859472,62,62,Han2023
658_80cGy,CotyledonCell_root,-0.13131391469023354,2.1584293549713395e-05,-0.11796832869764479,100,100,Han2023
658_80cGy,DCM_root,-0.34575165690835874,7.31088383212171e-26,-0.39821449765218525,81,81,Han2023
658_80cGy,DCS_root,-0.18045934136203773,0.07273871270969329,-0.17136365445962176,11,11,Han2023
658_80cGy,E.cotyledon_epidermis_shoot,-0.0340936964559473,0.3492162562391883,-0.051035886880275744,100,100,Han2023
658_80cGy,E.hypocotyl_epidermis_shoot,-0.10647249250498288,0.0006640071198163346,-0.09048204322902167,100,98,Han2023
658_80cGy,Endodermis_root,-0.02057207479247341,0.5896230328525383,-0.021288311116917487,100,99,Han2023
658_80cGy,Endodermis_shoot,-0.009731631571827938,0.7871102526684584,0.004956861808902303,66,64,Han2023
658_80cGy,InitialCell_root,-0.279379178851629,0.021926225580404753,-0.2287400671895432,7,7,Han2023
658_80cGy,LRC_root,-0.017914149156822042,0.639050882038651,-0.09525324797676574,100,80,Han2023
658_80cGy,Mesophyll_shoot,-0.11469654612679231,0.00020493117665305923,-0.10046438211401554,100,100,Han2023
658_80cGy,Pericycle_root,-0.1969591487059248,8.424094298600273e-11,-0.19203122763630412,100,100,Han2023
658_80cGy,Phloem_root,-0.08838967095540533,0.005561036318957873,-0.0973706307721499,100,98,Han2023
658_80cGy,Procambium_root,-0.14667893653825662,0.0001247956306257484,-0.124908974030195,67,66,Han2023
658_80cGy,SAM_shoot,0.03669101512008899,0.42553717955736947,0.017787700800208396,60,60,Han2023
658_80cGy,Trichoblast_root,-0.03989961299581912,0.28966251938502063,-0.0560113484315359,100,94,Han2023
658_80cGy,Unknown_root,,,,2,0,Han2023
658_80cGy,Vasculature_shoot,-0.15824333206586264,4.397626173843223e-07,-0.1416948380859632,100,97,Han2023
658_80cGy,Xylem_root,-0.13392866804941836,1.7442859696987278e-05,-0.16595527462678972,100,100,Han2023
