celltype_group,120_root_FLT_Light,120_root_FLT_Dark,678_leaf_FLT_Light,678_leaf_FLT_Dark,658_40cGy,658_80cGy
Liew_QC,0.10189790825894945,0.3119390273702863,0.017687891443636392,0.025786280160957967,0.0008954376902318455,0.019322138132795395
Liew_cortex,0.38316128008351935,0.45888715105940714,2.4358473122368136e-07,2.1222770840736299e-07,0.15896413360809541,0.5680063833685842
Liew_epidermis,0.745300752705508,1.0512431838664536e-09,0.0006320099536329603,0.0002158919980589132,0.9021690981454239,0.05465619984661765
Liew_mesophyll,3.3434812984367635e-13,0.0924204329554197,4.0397056436031976e-20,4.888725945104936e-13,0.10265499580056892,0.0016252141070179126
Liew_precursor_of_cortex_endodermis,0.745300752705508,4.809007194037434e-09,0.1640492898058734,4.1207838064964564e-10,0.666632831179569,7.912544676895298e-05
Liew_provasculature,2.65403399513674e-05,8.263269406558431e-05,0.000645201584832556,0.0027130359014152297,1.558343327772977e-14,0.003649151676956269
Liew_root_cap,0.03659377769559298,8.552472506314219e-22,0.030617490358879517,3.49913827516934e-17,0.0001324822524796174,2.1943866747663503e-05
Liew_stele,0.9374321842003627,0.545605215556275,0.004981371178663479,0.19035882284973593,0.006681813111388356,0.03702550285157121
Liew_xylem,0.10189790825894945,2.7157658209819286e-10,6.118446014198117e-07,7.112978347213015e-08,8.7457605043834e-09,2.818965724830093e-05
