program,atlas,study,tissue,contrast,contrast_key,n_panel,n_measured,mean_log2fc,perm_p,sign
Procambium_root,Han,OSD-678,leaf,FLT_vs_GC_Dark,OSD-678::leaf::FLT_vs_GC_Dark,67,67,-0.30238982582472795,0.994005994005994,-1
Procambium_root,Han,OSD-678,leaf,FLT_vs_GC_Light,OSD-678::leaf::FLT_vs_GC_Light,67,67,0.36872998816769686,0.3946053946053946,1
Vasculature_shoot,Han,OSD-120,root_tip,FLT_vs_GC_Dark,OSD-120::root_tip::FLT_vs_GC_Dark,100,98,-0.3647873832096319,0.000999000999000999,-1
Vasculature_shoot,Han,OSD-120,root_tip,FLT_vs_GC_Light,OSD-120::root_tip::FLT_vs_GC_Light,100,98,-0.6805055313004866,0.000999000999000999,-1
Vasculature_shoot,Han,OSD-658,whole_seedling,GCR_40cGy_vs_NoRad,OSD-658::whole_seedling::GCR_40cGy_vs_NoRad,100,97,-0.3588932823014363,0.000999000999000999,-1
Vasculature_shoot,Han,OSD-658,whole_seedling,GCR_80cGy_vs_NoRad,OSD-658::whole_seedling::GCR_80cGy_vs_NoRad,100,97,-0.14169483808596323,0.004995004995004995,-1
Vasculature_shoot,Han,OSD-678,leaf,FLT_vs_GC_Dark,OSD-678::leaf::FLT_vs_GC_Dark,100,99,-0.32700572657020543,0.906093906093906,-1
Vasculature_shoot,Han,OSD-678,leaf,FLT_vs_GC_Light,OSD-678::leaf::FLT_vs_GC_Light,100,99,0.2117886911937777,0.8221778221778222,1
Xylem_root,Han,OSD-120,root_tip,FLT_vs_GC_Dark,OSD-120::root_tip::FLT_vs_GC_Dark,100,100,-0.9039445163974145,0.000999000999000999,-1
Xylem_root,Han,OSD-120,root_tip,FLT_vs_GC_Light,OSD-120::root_tip::FLT_vs_GC_Light,100,100,-0.05825549839385969,0.8201798201798202,-1
Xylem_root,Han,OSD-658,whole_seedling,GCR_40cGy_vs_NoRad,OSD-658::whole_seedling::GCR_40cGy_vs_NoRad,100,100,-0.280879887729777,0.000999000999000999,-1
Xylem_root,Han,OSD-658,whole_seedling,GCR_80cGy_vs_NoRad,OSD-658::whole_seedling::GCR_80cGy_vs_NoRad,100,100,-0.16595527462678972,0.000999000999000999,-1
Xylem_root,Han,OSD-678,leaf,FLT_vs_GC_Dark,OSD-678::leaf::FLT_vs_GC_Dark,100,100,-0.5242149913504024,0.24475524475524477,-1
Xylem_root,Han,OSD-678,leaf,FLT_vs_GC_Light,OSD-678::leaf::FLT_vs_GC_Light,100,100,-1.0866892875591754,0.000999000999000999,-1
hypocotyl_axis_composite,composite,OSD-120,root_tip,FLT_vs_GC_Dark,OSD-120::root_tip::FLT_vs_GC_Dark,160,148,0.6397178424494471,0.000999000999000999,1
hypocotyl_axis_composite,composite,OSD-120,root_tip,FLT_vs_GC_Light,OSD-120::root_tip::FLT_vs_GC_Light,160,148,-0.2538086316772062,0.04095904095904096,-1
hypocotyl_axis_composite,composite,OSD-658,whole_seedling,GCR_40cGy_vs_NoRad,OSD-658::whole_seedling::GCR_40cGy_vs_NoRad,160,159,-0.055975445775269285,0.8801198801198801,-1
hypocotyl_axis_composite,composite,OSD-658,whole_seedling,GCR_80cGy_vs_NoRad,OSD-658::whole_seedling::GCR_80cGy_vs_NoRad,160,159,-0.07490192978709995,0.07292707292707293,-1
hypocotyl_axis_composite,composite,OSD-678,leaf,FLT_vs_GC_Dark,OSD-678::leaf::FLT_vs_GC_Dark,160,160,-0.6798773967993107,0.016983016983016984,-1
hypocotyl_axis_composite,composite,OSD-678,leaf,FLT_vs_GC_Light,OSD-678::leaf::FLT_vs_GC_Light,160,160,0.5220457372361457,0.056943056943056944,1
vascular_composite,composite,OSD-120,root_tip,FLT_vs_GC_Dark,OSD-120::root_tip::FLT_vs_GC_Dark,457,451,-0.42603533512710123,0.000999000999000999,-1
vascular_composite,composite,OSD-120,root_tip,FLT_vs_GC_Light,OSD-120::root_tip::FLT_vs_GC_Light,457,451,-0.26197943866111767,0.000999000999000999,-1
vascular_composite,composite,OSD-658,whole_seedling,GCR_40cGy_vs_NoRad,OSD-658::whole_seedling::GCR_40cGy_vs_NoRad,457,447,-0.26694328167067866,0.000999000999000999,-1
vascular_composite,composite,OSD-658,whole_seedling,GCR_80cGy_vs_NoRad,OSD-658::whole_seedling::GCR_80cGy_vs_NoRad,457,447,-0.12605760414994743,0.000999000999000999,-1
vascular_composite,composite,OSD-678,leaf,FLT_vs_GC_Dark,OSD-678::leaf::FLT_vs_GC_Dark,457,453,-0.30394809091433006,0.8801198801198801,-1
vascular_composite,composite,OSD-678,leaf,FLT_vs_GC_Light,OSD-678::leaf::FLT_vs_GC_Light,457,453,-0.03818220034471122,0.04895104895104895,-1
