condition,n_sig,n_meas,mean_log2fc_winsorized,median_log2fc,singscore,wilcox_p,frac_up_05,frac_dn_05,wilcox_fdr
120_root_FLT_Light,161,148,-0.16853356088558183,-0.024807197894281402,-0.013423059055010515,0.5704628393692851,0.2702702702702703,0.2905405405405405,0.6532998770892664
120_root_FLT_Dark,161,148,0.6397178424494471,0.6364997185876771,0.15310674172655975,9.69248003003408e-11,0.5608108108108109,0.13513513513513514,2.907744009010224e-10
678_leaf_FLT_Light,161,160,0.5220457372361457,0.06503619901978995,0.01021555596390219,0.6532998770892664,0.375,0.35,0.6532998770892664
678_leaf_FLT_Dark,161,160,-0.6798773967993108,-0.765542708923738,-0.2038348850504308,3.200438620755291e-19,0.075,0.675,1.920263172453175e-18
658_40cGy,161,159,-0.055975445775269285,0.0066264890262969,0.012158204260440513,0.5940514635689569,0.018867924528301886,0.09433962264150944,0.6532998770892664
658_80cGy,161,159,-0.07490192978709995,-0.0615571158928364,-0.07821153718541408,0.0006067911857222276,0.006289308176100629,0.0440251572327044,0.0012135823714444552
