condition,study,contrast,tissue,light,pathway_id,pathway_name,source,n_panel_genes,n_measured,mean_log2fc,mean_abs_log2fc,singscore,frac_up,frac_dn,sign_consistency,n_measured_w_padj,n_padj_lt_05,frac_padj_lt_05
Maffei2022_NMF|NMF_vs_GMF_10min|root|light,Maffei2022_NMF,NMF_vs_GMF_10min,root,light,ath03430,Mismatch repair,KEGG,32,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_10min|root|light,Maffei2022_NMF,NMF_vs_GMF_10min,root,light,ath03440,Homologous recombination,KEGG,60,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_10min|root|light,Maffei2022_NMF,NMF_vs_GMF_10min,root,light,ath03450,Non-homologous end-joining,KEGG,8,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_10min|root|light,Maffei2022_NMF,NMF_vs_GMF_10min,root,light,ath03460,Fanconi anemia pathway,KEGG,46,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_10min|root|light,Maffei2022_NMF,NMF_vs_GMF_10min,root,light,ath04075,Plant hormone signal transduction,KEGG,433,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_10min|root|light,Maffei2022_NMF,NMF_vs_GMF_10min,root,light,ath04712,Circadian rhythm - plant,KEGG,43,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_10min|shoot|light,Maffei2022_NMF,NMF_vs_GMF_10min,shoot,light,ABA_biosynthesis,ABA_biosynthesis,Curated,8,1,,,,,,,0.0,0.0,
Maffei2022_NMF|NMF_vs_GMF_10min|shoot|light,Maffei2022_NMF,NMF_vs_GMF_10min,shoot,light,ABA_signaling,ABA_signaling,Curated,16,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_10min|shoot|light,Maffei2022_NMF,NMF_vs_GMF_10min,shoot,light,Auxin_transporters_ABCB,Auxin_transporters_ABCB,Curated,3,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_10min|shoot|light,Maffei2022_NMF,NMF_vs_GMF_10min,shoot,light,Auxin_transporters_AUX_LAX,Auxin_transporters_AUX_LAX,Curated,3,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_10min|shoot|light,Maffei2022_NMF,NMF_vs_GMF_10min,shoot,light,Auxin_transporters_PIN,Auxin_transporters_PIN,Curated,7,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_10min|shoot|light,Maffei2022_NMF,NMF_vs_GMF_10min,shoot,light,Circadian_core,Circadian_core,User_core,14,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_10min|shoot|light,Maffei2022_NMF,NMF_vs_GMF_10min,shoot,light,GA_biosynthesis,GA_biosynthesis,Curated,17,5,0.3876138091307465,0.6017465023293689,0.0721649484536082,0.2,0.2,0.5,0.0,0.0,
Maffei2022_NMF|NMF_vs_GMF_10min|shoot|light,Maffei2022_NMF,NMF_vs_GMF_10min,shoot,light,GA_core_NMF,GA_core_NMF,User_core,3,3,0.3436492124343996,0.7005370344321035,0.0274914089347078,0.3333333333333333,0.3333333333333333,0.5,0.0,0.0,
Maffei2022_NMF|NMF_vs_GMF_10min|shoot|light,Maffei2022_NMF,NMF_vs_GMF_10min,shoot,light,GA_signaling,GA_signaling,Curated,10,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_10min|shoot|light,Maffei2022_NMF,NMF_vs_GMF_10min,shoot,light,Gravitropism,Gravitropism,Curated,9,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_10min|shoot|light,Maffei2022_NMF,NMF_vs_GMF_10min,shoot,light,Hormone_transporters_ABCG,Hormone_transporters_ABCG,Curated,5,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_10min|shoot|light,Maffei2022_NMF,NMF_vs_GMF_10min,shoot,light,Hormone_transporters_NPF,Hormone_transporters_NPF,Curated,6,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_10min|shoot|light,Maffei2022_NMF,NMF_vs_GMF_10min,shoot,light,Hub_transporter_core,Hub_transporter_core,User_core,5,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_10min|shoot|light,Maffei2022_NMF,NMF_vs_GMF_10min,shoot,light,Photoreceptors,Photoreceptors,Curated,10,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_10min|shoot|light,Maffei2022_NMF,NMF_vs_GMF_10min,shoot,light,ROS_core_NMF,ROS_core_NMF,User_core,10,9,0.2364573316414321,0.4003670614532728,-0.0426689576174111,0.2222222222222222,0.0,1.0,0.0,0.0,
Maffei2022_NMF|NMF_vs_GMF_10min|shoot|light,Maffei2022_NMF,NMF_vs_GMF_10min,shoot,light,ROS_scavenging,ROS_scavenging,Curated,24,10,0.1265619508522824,0.4465800029329521,-0.0837628865979381,0.2,0.1,0.6666666666666666,0.0,0.0,
Maffei2022_NMF|NMF_vs_GMF_10min|shoot|light,Maffei2022_NMF,NMF_vs_GMF_10min,shoot,light,Sugar_transporters_SWEET,Sugar_transporters_SWEET,Curated,11,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_10min|shoot|light,Maffei2022_NMF,NMF_vs_GMF_10min,shoot,light,ath00195,Photosynthesis,KEGG,46,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_10min|shoot|light,Maffei2022_NMF,NMF_vs_GMF_10min,shoot,light,ath00196,Photosynthesis - antenna proteins,KEGG,22,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_10min|shoot|light,Maffei2022_NMF,NMF_vs_GMF_10min,shoot,light,ath00630,Glyoxylate and dicarboxylate metabolism (incl. photorespiration),KEGG,80,1,,,,,,,0.0,0.0,
Maffei2022_NMF|NMF_vs_GMF_10min|shoot|light,Maffei2022_NMF,NMF_vs_GMF_10min,shoot,light,ath00710,Carbon fixation in photosynthetic organisms,KEGG,70,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_10min|shoot|light,Maffei2022_NMF,NMF_vs_GMF_10min,shoot,light,ath00904,Diterpenoid biosynthesis (GA biosynthesis),KEGG,25,6,0.4735178859611075,0.6519617969599594,0.0983676975945016,0.3333333333333333,0.1666666666666666,0.6666666666666666,0.0,0.0,
Maffei2022_NMF|NMF_vs_GMF_10min|shoot|light,Maffei2022_NMF,NMF_vs_GMF_10min,shoot,light,ath00966,Glucosinolate biosynthesis,KEGG,26,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_10min|shoot|light,Maffei2022_NMF,NMF_vs_GMF_10min,shoot,light,ath03410,Base excision repair,KEGG,50,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_10min|shoot|light,Maffei2022_NMF,NMF_vs_GMF_10min,shoot,light,ath03420,Nucleotide excision repair,KEGG,85,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_10min|shoot|light,Maffei2022_NMF,NMF_vs_GMF_10min,shoot,light,ath03430,Mismatch repair,KEGG,32,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_10min|shoot|light,Maffei2022_NMF,NMF_vs_GMF_10min,shoot,light,ath03440,Homologous recombination,KEGG,60,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_10min|shoot|light,Maffei2022_NMF,NMF_vs_GMF_10min,shoot,light,ath03450,Non-homologous end-joining,KEGG,8,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_10min|shoot|light,Maffei2022_NMF,NMF_vs_GMF_10min,shoot,light,ath03460,Fanconi anemia pathway,KEGG,46,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_10min|shoot|light,Maffei2022_NMF,NMF_vs_GMF_10min,shoot,light,ath04075,Plant hormone signal transduction,KEGG,433,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_10min|shoot|light,Maffei2022_NMF,NMF_vs_GMF_10min,shoot,light,ath04712,Circadian rhythm - plant,KEGG,43,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_1h|root|light,Maffei2022_NMF,NMF_vs_GMF_1h,root,light,ABA_biosynthesis,ABA_biosynthesis,Curated,8,1,,,,,,,0.0,0.0,
Maffei2022_NMF|NMF_vs_GMF_1h|root|light,Maffei2022_NMF,NMF_vs_GMF_1h,root,light,ABA_signaling,ABA_signaling,Curated,16,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_1h|root|light,Maffei2022_NMF,NMF_vs_GMF_1h,root,light,Auxin_transporters_ABCB,Auxin_transporters_ABCB,Curated,3,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_1h|root|light,Maffei2022_NMF,NMF_vs_GMF_1h,root,light,Auxin_transporters_AUX_LAX,Auxin_transporters_AUX_LAX,Curated,3,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_1h|root|light,Maffei2022_NMF,NMF_vs_GMF_1h,root,light,Auxin_transporters_PIN,Auxin_transporters_PIN,Curated,7,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_1h|root|light,Maffei2022_NMF,NMF_vs_GMF_1h,root,light,Circadian_core,Circadian_core,User_core,14,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_1h|root|light,Maffei2022_NMF,NMF_vs_GMF_1h,root,light,GA_biosynthesis,GA_biosynthesis,Curated,17,5,0.4383379066363654,0.581719495001356,0.0938144329896907,0.4,0.0,1.0,0.0,0.0,
Maffei2022_NMF|NMF_vs_GMF_1h|root|light,Maffei2022_NMF,NMF_vs_GMF_1h,root,light,GA_core_NMF,GA_core_NMF,User_core,3,3,0.4752717896973671,0.4752717896973671,0.1563573883161511,0.3333333333333333,0.0,1.0,0.0,0.0,
Maffei2022_NMF|NMF_vs_GMF_1h|root|light,Maffei2022_NMF,NMF_vs_GMF_1h,root,light,GA_signaling,GA_signaling,Curated,10,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_1h|root|light,Maffei2022_NMF,NMF_vs_GMF_1h,root,light,Gravitropism,Gravitropism,Curated,9,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_1h|root|light,Maffei2022_NMF,NMF_vs_GMF_1h,root,light,Hormone_transporters_ABCG,Hormone_transporters_ABCG,Curated,5,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_1h|root|light,Maffei2022_NMF,NMF_vs_GMF_1h,root,light,Hormone_transporters_NPF,Hormone_transporters_NPF,Curated,6,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_1h|root|light,Maffei2022_NMF,NMF_vs_GMF_1h,root,light,Hub_transporter_core,Hub_transporter_core,User_core,5,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_1h|root|light,Maffei2022_NMF,NMF_vs_GMF_1h,root,light,Photoreceptors,Photoreceptors,Curated,10,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_1h|root|light,Maffei2022_NMF,NMF_vs_GMF_1h,root,light,ROS_core_NMF,ROS_core_NMF,User_core,10,9,0.1829652655037479,0.3014190357012556,-0.0693012600229095,0.2222222222222222,0.0,1.0,0.0,0.0,
Maffei2022_NMF|NMF_vs_GMF_1h|root|light,Maffei2022_NMF,NMF_vs_GMF_1h,root,light,ROS_scavenging,ROS_scavenging,Curated,24,10,0.0810186121816611,0.3549272589028421,-0.1105670103092783,0.2,0.1,0.6666666666666666,0.0,0.0,
Maffei2022_NMF|NMF_vs_GMF_1h|root|light,Maffei2022_NMF,NMF_vs_GMF_1h,root,light,Sugar_transporters_SWEET,Sugar_transporters_SWEET,Curated,11,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_1h|root|light,Maffei2022_NMF,NMF_vs_GMF_1h,root,light,ath00195,Photosynthesis,KEGG,46,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_1h|root|light,Maffei2022_NMF,NMF_vs_GMF_1h,root,light,ath00196,Photosynthesis - antenna proteins,KEGG,22,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_1h|root|light,Maffei2022_NMF,NMF_vs_GMF_1h,root,light,ath00630,Glyoxylate and dicarboxylate metabolism (incl. photorespiration),KEGG,80,1,,,,,,,0.0,0.0,
Maffei2022_NMF|NMF_vs_GMF_1h|root|light,Maffei2022_NMF,NMF_vs_GMF_1h,root,light,ath00710,Carbon fixation in photosynthetic organisms,KEGG,70,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_1h|root|light,Maffei2022_NMF,NMF_vs_GMF_1h,root,light,ath00904,Diterpenoid biosynthesis (GA biosynthesis),KEGG,25,6,0.536709780896433,0.6561944378672585,0.1361683848797251,0.5,0.0,1.0,0.0,0.0,
Maffei2022_NMF|NMF_vs_GMF_1h|root|light,Maffei2022_NMF,NMF_vs_GMF_1h,root,light,ath00966,Glucosinolate biosynthesis,KEGG,26,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_1h|root|light,Maffei2022_NMF,NMF_vs_GMF_1h,root,light,ath03410,Base excision repair,KEGG,50,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_1h|root|light,Maffei2022_NMF,NMF_vs_GMF_1h,root,light,ath03420,Nucleotide excision repair,KEGG,85,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_1h|root|light,Maffei2022_NMF,NMF_vs_GMF_1h,root,light,ath03430,Mismatch repair,KEGG,32,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_1h|root|light,Maffei2022_NMF,NMF_vs_GMF_1h,root,light,ath03440,Homologous recombination,KEGG,60,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_1h|root|light,Maffei2022_NMF,NMF_vs_GMF_1h,root,light,ath03450,Non-homologous end-joining,KEGG,8,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_1h|root|light,Maffei2022_NMF,NMF_vs_GMF_1h,root,light,ath03460,Fanconi anemia pathway,KEGG,46,0,,,,,,,,,
