metric,hub_mean,hub_median,nonhub_mean,nonhub_median,diff_mean,perm_p,null_mean,null_std,null_2_5,null_97_5
degree,10.896929824561404,8.0,4.187948350071736,3.0,6.7089814744896685,0.000999000999000999,0.023919891640866886,0.4060683393077523,-0.8112461929572854,0.7885706914344688
weighted_degree,10.896929824561404,8.0,4.187948350071736,3.0,6.7089814744896685,0.000999000999000999,0.023919891640866886,0.4060683393077523,-0.8112461929572854,0.7885706914344688
betweenness,8.398467600848826e-06,3.839436941087681e-06,0.0,0.0,8.398467600848826e-06,0.000999000999000999,3.986019368800002e-08,7.68280238836862e-07,-1.3428909417927601e-06,1.6046955141887686e-06
