tissue,stressor,pathway,mean_log2fc,median_log2fc,sign_concordance,n_contrasts,n_pos,n_neg,n_panel_genes,n_measured,label,robust_modest_sign
root,µg,Hormone_transporters_ABCG,0.1597,0.1597,0.5,2.0,1.0,1.0,5.0,5.0,rewired,False
root,µg,Hormone_transporters_NPF,-0.1375,-0.1375,0.5,2.0,1.0,1.0,6.0,4.0,rewired,False
root,µg,Hub_transporter_core,0.2234,0.2234,0.5,2.0,1.0,1.0,5.0,4.0,rewired,False
root,µg,Mismatch repair,-0.0805,-0.0805,0.5,2.0,1.0,1.0,32.0,32.0,rewired,False
root,µg,Non-homologous end-joining,-0.1899,-0.1899,1.0,2.0,0.0,2.0,8.0,8.0,modestly_suppressed,True
root,µg,Nucleotide excision repair,-0.1102,-0.1102,1.0,2.0,0.0,2.0,85.0,81.0,modestly_suppressed,True
root,µg,Photoreceptors,0.1136,0.1136,1.0,2.0,2.0,0.0,10.0,10.0,modestly_activated,True
root,µg,Photosynthesis,-0.0722,-0.0722,0.5,2.0,1.0,1.0,46.0,46.0,rewired,False
root,µg,Photosynthesis - antenna proteins,-0.6749,-0.6749,0.5,2.0,1.0,1.0,22.0,20.0,n.s.,False
root,µg,Plant hormone signal transduction,0.1131,0.1131,0.5,2.0,1.0,1.0,433.0,369.0,rewired,False
root,µg,ROS_core_NMF,0.1501,0.1501,0.5,2.0,1.0,1.0,10.0,9.0,rewired,False
root,µg,ROS_scavenging,0.1634,0.1634,0.5,2.0,1.0,1.0,24.0,22.0,rewired,False
root,µg,Sugar_transporters_SWEET,2.5531,2.5531,1.0,2.0,2.0,0.0,11.0,7.0,activated,False
shoot,NMF,ABA_biosynthesis,,,0.0,7.0,0.0,0.0,8.0,1.0,no_coverage,False
shoot,NMF,ABA_signaling,,,0.0,7.0,0.0,0.0,16.0,0.0,no_coverage,False
shoot,NMF,Auxin_transporters_ABCB,,,0.0,7.0,0.0,0.0,3.0,0.0,no_coverage,False
shoot,NMF,Auxin_transporters_AUX_LAX,,,0.0,7.0,0.0,0.0,3.0,0.0,no_coverage,False
shoot,NMF,Auxin_transporters_PIN,,,0.0,7.0,0.0,0.0,7.0,0.0,no_coverage,False
shoot,NMF,Base excision repair,,,0.0,7.0,0.0,0.0,50.0,0.0,no_coverage,False
shoot,NMF,Carbon fixation in photosynthetic organisms,,,0.0,7.0,0.0,0.0,70.0,0.0,no_coverage,False
shoot,NMF,Circadian rhythm - plant,,,0.0,7.0,0.0,0.0,43.0,0.0,no_coverage,False
shoot,NMF,Circadian_core,,,0.0,7.0,0.0,0.0,14.0,0.0,no_coverage,False
