pathway_name,120_root_tip_FLT_Light,120_root_tip_FLT_Dark,678_leaf_FLT_Light,678_leaf_FLT_Dark,658_whole_seedling_40cGy,658_whole_seedling_80cGy
ABA_biosynthesis,0.0429426786857548,0.5616739769915008,-0.6430728760095236,1.4073313428637089,0.0023385412744881,-0.094370711938825
ABA_signaling,0.2266407740185884,0.8069615271798469,0.8270615272691889,-0.1669206107272837,0.0286856430800214,0.0893359601336688
Auxin_transporters_AUX_LAX,0.0415351031055082,-0.3689469267213958,-0.5519926779369507,-0.39911968265532,-0.1399892621149906,-0.1215202725592827
Auxin_transporters_PIN,-0.6123392460656875,-0.3082303949605151,-1.6559700282692245,-0.3969686149140571,-0.3202572783127827,-0.102300615797457
Base excision repair,-0.1522279412059324,-0.1256805411371936,-0.5264844904892496,-0.1163964889854504,0.0241158294455532,0.0944888820328305
Carbon fixation in photosynthetic organisms,-0.4601310062740339,0.262833957935786,-0.5482807919057284,0.1597684296654235,-0.0297307446034091,-0.0536481897066481
Circadian rhythm - plant,-0.5722423048964977,0.1024199181263117,-0.0027653175825743,0.202606167194142,-0.0283653876446544,-0.0087179306231615
Circadian_core,-0.28838809329681,0.2490305067373463,0.775354507990963,0.3904627774704156,0.0765718119990019,0.1692495881572045
Diterpenoid biosynthesis (GA biosynthesis),0.0736537710327592,0.4245827603488251,-0.9945866020427292,-1.8599359274782603,-0.1437429889955679,-0.2942318722247495
Fanconi anemia pathway,0.0366297045267562,-0.3290698737019628,-0.888496967088563,-0.1154494818850935,0.0199864737663972,0.0277285186622078
GA_biosynthesis,0.1858909038096028,0.4361883701838289,-0.6877851615034102,-1.7301374561680951,0.012839612021765,-0.1090401563234439
GA_signaling,0.1785355968567225,-0.1348079744075339,0.5259487044591605,-0.0496130582666759,0.0289127923627913,0.0004925123207659
Glucosinolate biosynthesis,0.7042120063921607,-0.5399347421457457,-1.0838100797302794,0.1963156084697791,-0.4896771499714179,-0.4040013735832782
Glyoxylate and dicarboxylate metabolism (incl. photorespiration),-0.3525689528745502,-0.082801928231916,-0.2856983001806483,0.307840368408548,0.0179836866320677,-0.0372966540931372
Gravitropism,0.0016346597171211,-0.0121108254067071,-0.2857615193026741,0.1536628869774552,-0.0404207653373087,-0.058563480952455
Homologous recombination,0.0788483406571837,-0.2236795949588752,-0.5393029652364109,-0.0044797201636712,-0.0348044647248118,0.0193861127547682
Hormone_transporters_ABCG,0.3540590186404736,-0.034615178580406,2.18858581355873,-1.5372665534095864,-0.2953733022738214,-0.1282011627469839
Hormone_transporters_NPF,-0.2771257801060507,0.0020671379557669,-0.2816893113042634,-0.6985285685074922,-0.062887138139443,0.0672776902022081
Hub_transporter_core,-0.0494819403457722,0.4962441957521536,0.0770983080889215,1.3691688129454138,-0.2262388945243677,0.0417199367012711
Mismatch repair,0.0366964974699326,-0.1976481045756513,-0.6957570632546385,-0.1732456889421298,-0.0529815767463436,-0.0029541014687304
Non-homologous end-joining,-0.0151925968243005,-0.3645965847188134,-0.0864452517546768,-0.0196092697364013,-0.0869739913382701,0.0047839020285649
Nucleotide excision repair,-0.1711652369734684,-0.0493325406430914,-0.0805018216525387,0.0083389229386623,-0.0025054183528957,0.0239288109609641
Photoreceptors,0.1422012427332857,0.0849774316629289,0.0498519539553063,0.1911181762225292,0.0273181675114347,0.0281777585833853
Photosynthesis,-1.5196339401118342,1.3753214910535452,-1.6981775602027,1.3218210277930589,0.0132052973065721,-0.1206918523367964
Photosynthesis - antenna proteins,-1.776514714397918,0.4266247761753337,-1.97113394786435,2.960611801501301,-0.0377770958007721,-0.2445469035822442
Plant hormone signal transduction,-0.0877271555739747,0.313910748685526,0.0403045103903992,-0.2642486214309886,-0.0041854419719939,0.0472462762952381
ROS_core_NMF,-0.350440805471594,0.650681632296942,0.7098884950963377,-0.3646721215297852,-0.0746521028806621,-0.1746364487271318
ROS_scavenging,-0.0163247842389124,0.3431903658598697,0.806418885009133,-0.0586407736012269,-0.1278732746321402,-0.0746829531911685
Sugar_transporters_SWEET,0.870722543453507,4.235409662055896,1.9155822068803037,-0.1018715323321302,-0.4133413293178289,-0.2860392047307856
