atlas,celltype_group,120_root_FLT_Light,120_root_FLT_Dark,678_leaf_FLT_Light,678_leaf_FLT_Dark,658_40cGy,658_80cGy
Han2023,Trichoblast_root,0.07341491095932813,0.38931594478033876,0.06820693322017503,-0.26304614779705426,-0.1552103579740705,-0.03989961299581912
Han2023,CotyledonCell_root,-0.3038696367108905,0.08511750467261088,-0.3487378006451876,0.3800494099391563,0.0672860492379836,-0.13131391469023354
Han2023,Atrichoblast_root,0.13883865376281956,0.35794501420386154,0.09482683187203586,-0.2637583638134906,-0.1213106939953364,-0.025235218083987106
Han2023,DCM_root,-0.13432847744947513,-0.2987864035251969,-0.30084205102920986,-0.04791367653605124,-0.30978285677386885,-0.34575165690835874
Han2023,InitialCell_root,0.021164235158168402,-0.14693052145023835,-0.08836037171208065,-0.029739299860578782,-0.3373903353387527,-0.279379178851629
Han2023,Xylem_root,-0.02230414560161777,-0.32867664307381195,-0.21882110335252564,-0.1608632447221201,-0.20141671927135002,-0.13392866804941836
Han2023,Vasculature_shoot,-0.17090918470522687,-0.24901632240358226,0.026624198619788476,-0.08869329498999962,-0.3170842192457836,-0.15824333206586264
Han2023,Phloem_root,-0.12453513905485593,-0.3008446446262422,0.16515104080949974,0.004989253059815346,-0.2560898739512037,-0.08838967095540533
Han2023,Endodermis_shoot,0.08377654196157736,0.09195968149646107,0.18237387586891451,-0.2966594106616157,0.1150936457300027,-0.009731631571827938
Liew2024,Liew_root_cap,0.07220728008088982,0.28282386248736097,0.0636077422516232,-0.2500975948384989,-0.12136092313064703,-0.14004006270350336
Liew2024,Liew_mesophyll,-0.2203285115866367,0.05439549328325867,-0.271333660010617,0.21402997264077753,0.052748378363853154,-0.09787499851978164
Han2023,E.hypocotyl_epidermis_shoot,0.012306381431703825,0.14888992399541015,-0.0549712899339262,-0.2658596252863067,-0.01853693953007298,-0.10647249250498288
Han2023,Endodermis_root,0.061118301314459035,0.0809092012133468,0.10122136469435254,-0.2613695945118216,0.05331496040757474,-0.02057207479247341
Han2023,Cortex_root,-0.07583515444078408,0.24663231025147594,0.17878072972855485,-0.10470665565448084,-0.0976170805709814,-0.017373363315578656
Han2023,Procambium_root,-0.15800491978932435,-0.24230535894843275,0.00973083864031552,-0.11603625874059814,-0.09532446841942736,-0.14667893653825662
Han2023,Pericycle_root,0.03243231097629479,-0.16020835248337778,0.1592147494793581,-0.17511413287598512,-0.23958201821625033,-0.1969591487059248
Han2023,Mesophyll_shoot,-0.028074503751796064,0.07162173380873824,-0.2380795459185757,0.17058026052513373,-0.010733158986382942,-0.11469654612679231
Liew2024,Liew_provasculature,-0.13183797280287243,-0.1186104290047667,0.10384170818884947,0.08946165750386888,-0.23278316117114295,-0.09026243151706947
Han2023,DCS_root,-0.02753194227410605,-0.043371633422189526,-0.19632562300699016,-0.05369757850463473,-0.08502488133203255,-0.18045934136203773
Liew2024,Liew_xylem,-0.05776450041364093,-0.1894487851211815,-0.14964882192004572,-0.1593644085099432,-0.17465230298089116,-0.1314379390497294
Liew2024,Liew_epidermis,0.012971624034593291,0.18647096788073064,-0.10568593479288076,-0.11061859510434087,-0.0035953247994436545,-0.057682081155933304
Liew2024,Liew_precursor_of_cortex_endodermis,0.013088169868554078,0.17248149646107178,-0.040081056801012704,-0.18490220098819876,-0.015413472810893685,-0.12105059067544413
Han2023,LRC_root,0.11286956521739133,0.1286758341759353,0.1315621924379209,-0.17479401413879286,0.02487825773288845,-0.017914149156822042
Han2023,SAM_shoot,-0.044927536231884085,-0.04109302325581394,0.1647528822464508,0.08434399117971333,-0.08553371208705325,0.03669101512008899
Liew2024,Liew_cortex,-0.03344160768452983,0.024336240310077493,-0.15739616756399802,0.15335106135057133,0.04479986601909231,0.016614184676485785
Han2023,Cortex_hypocotyl_shoot,-0.04867076300847786,0.14879956443960493,0.11293160560056512,-0.12130575835754463,0.054968753491089074,-0.04055753785854747
Han2023,E.cotyledon_epidermis_shoot,-0.021716583568680753,0.13532187394674758,-0.05352484789088981,0.09417534403201439,-0.07734872396068178,-0.0340936964559473
Liew2024,Liew_QC,-0.059238601359136535,0.03630987372727915,0.07698630597651289,-0.07109626651101457,-0.1120069601156905,-0.07865903147263054
Liew2024,Liew_stele,0.002261678463094037,0.017411324570273036,0.08457429866470657,-0.03772265098615708,-0.08399920387024722,-0.06328935490717436
