tair_id,symbol_hint,is_panel,is_hub_han,is_hub_liew,atlas_celltype_primary,pathway_primary,mean_log2fc_OSD_dark,mean_log2fc_OSD_light,degree,weighted_degree,betweenness
AT2G16580,,True,False,False,panel_only,Plant hormone signal transduction,-0.031989579978869996,-0.11961540943879838,4,4.0,0.0
AT4G00570,,True,False,False,panel_only,Carbon fixation in photosynthetic organisms,-0.045761234105179634,-0.025431096992468687,4,4.0,0.0
AT1G80420,,True,False,False,panel_only,Base excision repair,0.34657393969895334,-0.07937490245332902,4,4.0,0.0
AT2G01760,,True,False,False,panel_only,Plant hormone signal transduction,-0.20568266680761962,-0.372778251021004,4,4.0,0.0
AT2G02220,,True,False,False,panel_only,Plant hormone signal transduction,0.06906754589799473,0.21357054713478843,4,4.0,0.0
AT3G60250,,True,False,False,panel_only,Circadian rhythm - plant,0.13781995202309985,0.23066365681556,4,4.0,0.0
AT2G46830,CCA1,True,False,False,panel_only,Circadian_core,-1.206803656244613,-1.2104381516216776,4,4.0,0.0
AT1G45474,,True,False,False,panel_only,Photosynthesis - antenna proteins,0.058267305496881715,-1.237674823986617,4,4.0,0.0
AT3G01440,,True,False,False,panel_only,Photosynthesis,0.2596140744959542,-0.8186446839003384,4,4.0,0.0
AT2G47930,,False,True,False,Han:Cortex_hypocotyl,non-panel,-0.18371057619624634,-0.43910925644928406,4,4.0,2.262525340283811e-06
AT4G05390,,True,False,False,panel_only,Photosynthesis,-0.10381081004611399,-0.2672707557317006,4,4.0,0.0
AT1G10120,,False,False,True,Liew_provasculature,non-panel,0.03779959856730902,0.1130222110147574,4,4.0,2.262525340283811e-06
AT1G10060,,True,False,False,panel_only,Glucosinolate biosynthesis,1.1498714765315163,0.7468271371635303,4,4.0,0.0
AT4G18780,,False,False,True,Liew_xylem,non-panel,-0.8785562682884814,-1.1294073461716017,4,4.0,9.050101361135244e-06
AT1G48030,,True,False,False,panel_only,Glyoxylate and dicarboxylate metabolism (incl. photorespiration),0.03278532443240333,-0.12136926631920332,4,4.0,0.0
AT2G27510,,True,False,False,panel_only,Photosynthesis,-0.22860571718789846,-0.03345451350529464,4,4.0,0.0
AT5G23010,,True,False,False,panel_only,Glucosinolate biosynthesis,-0.6749372985906067,-0.9083077872024813,4,4.0,0.0
AT5G15850,,True,False,False,panel_only,Circadian rhythm - plant,0.2501067592296324,-0.5126200330828605,4,4.0,0.0
AT4G19030,,False,False,True,Liew_root_cap,non-panel,0.4556878673826563,0.031150048496622357,4,4.0,2.262525340283811e-06
AT4G18710,,True,False,False,panel_only,Plant hormone signal transduction,0.328688898239292,0.10987277482328396,4,4.0,0.0
AT5G07390,RBOHA,True,False,False,panel_only,ROS_scavenging,-0.680290466531289,2.100659687456634,4,4.0,0.0
AT5G04870,,True,False,False,panel_only,Plant hormone signal transduction,-0.09129262873498785,-0.14186762130593275,4,4.0,0.0
AT2G27970,,False,False,True,Liew_QC,non-panel,-0.10964584881748386,-0.549338781858309,4,4.0,0.0
AT2G40080,ELF4,True,False,False,panel_only,Circadian_core,0.9660031259988568,0.9973842090440085,4,4.0,0.0
AT2G19490,,True,False,False,panel_only,Homologous recombination,0.08905644066994924,0.3615775515368183,4,4.0,0.0
AT4G16155,,True,False,False,panel_only,Glyoxylate and dicarboxylate metabolism (incl. photorespiration),0.17985072196271878,-0.17372728798432882,4,4.0,0.0
AT5G22110,,True,False,False,panel_only,Base excision repair,-0.19287696177731237,-0.44612603195884465,4,4.0,0.0
AT5G65870,,True,False,False,panel_only,Plant hormone signal transduction,-0.5544743547543333,0.08514073580731558,3,3.0,0.0
AT5G67380,,True,False,False,panel_only,Circadian rhythm - plant,0.13872934066146733,0.07385491368787887,3,3.0,0.0
AT1G78580,,False,False,True,Liew_provasculature,non-panel,-0.34598912935248666,-0.48615026314787174,3,3.0,7.541751134279371e-07
AT1G64500,,False,True,False,Han:Cortex_hypocotyl,non-panel,0.16141411640210465,-0.0351986697575803,3,3.0,0.0
AT1G29930,,True,False,False,panel_only,Photosynthesis - antenna proteins,1.1237232067635343,-1.2212969055600673,3,3.0,0.0
AT1G27020,,False,True,False,Han:Cortex_hypocotyl,non-panel,0.45258524499456737,0.6528635163027809,3,3.0,0.0
AT3G50530,,True,False,False,panel_only,Plant hormone signal transduction,-0.2943643297253781,-0.06690599585780965,3,3.0,0.0
AT4G31870,GPX7,True,False,False,panel_only,ROS_scavenging,1.3098943706229147,-0.7053368826931633,3,3.0,0.0
AT3G55960,LAZY4,True,False,False,panel_only,Gravitropism,-0.08798429749473263,-0.22077593621978142,3,3.0,0.0
AT3G05020,,False,False,True,Liew_QC,non-panel,0.18104390869413733,-0.08566406885448936,3,3.0,4.525050680567622e-06
AT1G49580,,True,False,False,panel_only,Plant hormone signal transduction,-0.39260251152720665,-0.12948540693759794,3,3.0,0.0
AT5G54370,,False,False,True,Liew_root_cap,non-panel,0.6257098686903789,-0.3815609185730193,3,3.0,7.541751134279371e-07
AT1G75080,,True,False,False,panel_only,Plant hormone signal transduction,-0.08438183042208076,-0.16126758422477094,3,3.0,0.0
AT5G24120,,False,True,False,Han:Cortex_hypocotyl,non-panel,0.9062905577745806,-0.7946925426339613,3,3.0,0.0
AT1G73590,PIN1_grav,True,False,False,panel_only,Auxin_transporters_PIN,-0.44729812977372935,-0.22631873189632135,3,3.0,0.0
AT1G71100,,True,False,False,panel_only,Carbon fixation in photosynthetic organisms,-0.25866128507567837,-0.07108568021805663,3,3.0,0.0
AT5G10990,,True,False,False,panel_only,Plant hormone signal transduction,-0.13418618837614135,-1.2586064470396874,3,3.0,0.0
AT5G17490,RGL3,True,False,False,panel_only,GA_signaling,-0.09551665543312,0.16823439628386094,3,3.0,0.0
AT3G42640,,True,False,False,panel_only,Plant hormone signal transduction,0.09649583090646163,0.4672359620096523,3,3.0,0.0
AT1G29965,,False,False,True,Liew_QC,non-panel,-0.21029463965347503,-0.21322547126938066,3,3.0,7.541751134279371e-07
AT2G43010,,True,False,False,panel_only,Plant hormone signal transduction,0.6019964738342881,-1.2986306591040682,3,3.0,0.0
AT3G26810,,True,False,False,panel_only,Plant hormone signal transduction,-0.041350685165731,0.14264651455987473,3,3.0,0.0
AT5G62680,,False,False,True,Liew_provasculature,non-panel,-0.03216654319267897,0.36181545351395666,3,3.0,0.0
AT5G23580,,True,False,False,panel_only,Plant hormone signal transduction,-0.17499864461051798,-0.24908424114862135,3,3.0,0.0
AT3G19290,,True,False,False,panel_only,Plant hormone signal transduction,0.32814130060751895,0.6769633928109043,3,3.0,0.0
AT5G46790,PYL1/RCAR12,True,False,False,panel_only,ABA_signaling,-0.11976079402871363,-0.5432388682290289,3,3.0,0.0
AT5G66210,,True,False,False,panel_only,Plant hormone signal transduction,-0.04610331107031567,-0.19086192511856068,3,3.0,0.0
AT3G16950,,True,False,False,panel_only,Glyoxylate and dicarboxylate metabolism (incl. photorespiration),0.22066548480811465,0.14127809566965033,3,3.0,0.0
AT3G24515,,True,False,False,panel_only,Fanconi anemia pathway,-0.2351067480546333,-0.79166918037675,3,3.0,0.0
AT5G19150,LAZY3,True,False,False,panel_only,Gravitropism,0.1630768005892167,0.11081723451774335,3,3.0,0.0
AT4G30080,,True,False,False,panel_only,Plant hormone signal transduction,-0.22020419784225762,0.05890876435910882,3,3.0,0.0
AT1G31935,,False,False,True,Liew_xylem,non-panel,-0.19177691296901167,-0.20933889935521935,3,3.0,7.541751134279371e-07
AT5G57970,,True,False,False,panel_only,Base excision repair,-0.32031832470038796,-0.06720037499725035,3,3.0,0.0
AT3G15950,,False,False,True,Liew_root_cap,non-panel,0.08766682828770206,0.025530335864226667,3,3.0,0.0
AT1G30330,,True,False,False,panel_only,Plant hormone signal transduction,-0.16801960895139553,-0.037782214005129676,3,3.0,0.0
AT5G25890,,True,False,False,panel_only,Plant hormone signal transduction,-0.3822903021111177,0.052519465019592294,3,3.0,0.0
AT5G25620,,True,False,False,panel_only,Plant hormone signal transduction,-0.16299824691122985,0.050685651739872016,3,3.0,0.0
AT5G59080,,False,False,True,Liew_provasculature,non-panel,0.7666867070526489,-0.16396471333698698,3,3.0,7.541751134279371e-07
AT5G60450,,True,False,False,panel_only,Plant hormone signal transduction,-0.5874947504343996,0.14906534722484802,3,3.0,0.0
AT3G51030,,False,False,True,Liew_xylem,non-panel,-0.35338507808629327,-0.4841128132393256,3,3.0,7.541751134279371e-07
AT5G56100,,False,True,False,Han:Cortex_hypocotyl,non-panel,1.2238465897595594,1.2350648052788047,3,3.0,7.541751134279371e-07
AT3G16920,,False,False,True,Liew_xylem,non-panel,-0.5906279989072135,-0.8024629634298442,3,3.0,0.0
AT3G18230,,False,False,True,Liew_QC,non-panel,0.17108360589669994,0.38831401546327693,3,3.0,7.541751134279371e-07
AT5G38430,,True,False,False,panel_only,Carbon fixation in photosynthetic organisms,-0.10814782554784767,-3.377969485373029,3,3.0,0.0
AT5G22880,,False,False,True,Liew_QC,non-panel,-0.19141446176197066,-0.18068103813697903,3,3.0,7.541751134279371e-07
AT3G13062,,False,True,False,Han:Cortex_hypocotyl,non-panel,0.3558383403077296,0.15955175919075817,3,3.0,0.0
AT3G48470,,True,False,False,panel_only,Fanconi anemia pathway,-0.4538371667172439,-0.10308824892436126,3,3.0,0.0
AT3G48350,,False,True,False,Han:E.hypocotyl_epidermis,non-panel,-0.39071612823464363,-0.8571772319453702,3,3.0,7.541751134279371e-07
AT3G50500,SnRK2.2,True,False,False,panel_only,ABA_signaling,0.30990085112216686,0.21625119954908664,3,3.0,0.0
AT3G14440,NCED3,True,False,False,panel_only,ABA_biosynthesis,0.9326596388047735,1.3897803834626272,3,3.0,0.0
AT5G54260,,True,False,False,panel_only,Non-homologous end-joining,-0.24499777384042667,-0.20721250487751738,3,3.0,0.0
AT4G30820,,True,False,False,panel_only,Nucleotide excision repair,-0.0016276743364493976,0.10714984129331034,3,3.0,0.0
AT2G22670,,True,False,False,panel_only,Plant hormone signal transduction,-0.25953956878675366,-0.5771619302789074,3,3.0,0.0
AT1G10380,,False,False,True,Liew_provasculature,non-panel,-0.503992175460739,-0.17073045208713833,3,3.0,4.525050680567622e-06
AT1G13440,,True,False,False,panel_only,Carbon fixation in photosynthetic organisms,0.03232044855614274,-0.024339605873358,3,3.0,0.0
AT2G17290,,True,False,False,panel_only,Plant hormone signal transduction,-0.1867148421893328,0.3943604305410245,3,3.0,0.0
AT1G50700,,True,False,False,panel_only,Plant hormone signal transduction,-0.11028227406260858,-0.3220408433565767,3,3.0,0.0
AT1G52500,,True,False,False,panel_only,Base excision repair,-0.06990921010376237,-0.1772088801534857,3,3.0,0.0
AT5G42750,,True,False,False,panel_only,Plant hormone signal transduction,-0.4527060256411805,-0.35895748651854564,3,3.0,0.0
AT1G80660,,True,False,False,panel_only,Plant hormone signal transduction,-0.31320122267483236,0.4535080230835433,3,3.0,0.0
AT4G04710,,True,False,False,panel_only,Plant hormone signal transduction,0.4648221665418144,-1.2090520694485443,3,3.0,0.0
AT1G09530,,True,False,False,panel_only,Circadian rhythm - plant,0.5610218000633787,0.22532869394422397,3,3.0,0.0
AT4G01026,,True,False,False,panel_only,Plant hormone signal transduction,0.719838858475331,1.5477811534262544,3,3.0,0.0
AT4G02390,,True,False,False,panel_only,Base excision repair,0.9383038219252778,0.3209075903987777,3,3.0,0.0
AT1G07720,,False,True,False,Han:E.hypocotyl_epidermis,non-panel,-1.7083591542124763,-0.7998051577735121,3,3.0,7.541751134279371e-07
