condition,n_sig,n_meas,mean_log2fc,singscore,wilcox_p,frac_up_05,frac_dn_05,wilcox_fdr
120_root_FLT_Light,161,148,-0.2538086316772062,-0.013423195693165352,0.5704589162900408,0.2702702702702703,0.2905405405405405,0.6532998787577036
120_root_FLT_Dark,161,148,0.6397178424494471,0.15310674172655975,9.692480176814951e-11,0.5608108108108109,0.13513513513513514,2.907744053044486e-10
678_leaf_FLT_Light,161,160,0.5220457372361457,0.01021555596390219,0.6532998787577036,0.375,0.35,0.6532998787577036
678_leaf_FLT_Dark,161,160,-0.6798773967993108,-0.2038348850504308,3.2004389091045186e-19,0.075,0.675,1.9202633454627112e-18
658_40cGy,161,159,-0.055975445775269285,0.012158204260440513,0.5940514635689569,0.018867924528301886,0.09433962264150944,0.6532998787577036
658_80cGy,161,159,-0.07490192978709995,-0.07821153718541408,0.0006067911857222276,0.006289308176100629,0.0440251572327044,0.0012135823714444552
