fold,condition,ae_loo_mse,baseline_loo_mse,shuffled_ae_loo_mse,ae_vs_baseline_ratio
0,120_root_FLT_Dark,1.011461853981018,1.4178122282028198,0.9924337267875671,0.7133961986370505
1,120_root_FLT_Light,1.0903596878051758,1.5542694330215454,1.0826174020767212,0.7015255300269816
2,658_40cGy,0.3418656289577484,0.46471264958381653,0.32552412152290344,0.7356495013938475
3,658_80cGy,0.3056871294975281,0.4245269298553467,0.306135892868042,0.7200653433262477
4,678_leaf_FLT_Dark,1.1803102493286133,1.6647499799728394,1.1873241662979126,0.7090015098530713
5,678_leaf_FLT_Light,2.216088056564331,3.11392879486084,2.199328660964966,0.7116694704842688
