tair_id,gene_name,tissue,time,ratio,log2_ratio
AT5G13930,"ATCHS, CHALCONE SYNTHASE, CHS, TRANSPARENT TESTA 4, TT4",root,24h,0.93,-0.1047
AT5G13930,"ATCHS, CHALCONE SYNTHASE, CHS, TRANSPARENT TESTA 4, TT4",root,48h,1.04,0.0566
AT5G13930,"ATCHS, CHALCONE SYNTHASE, CHS, TRANSPARENT TESTA 4, TT4",root,96h,1.02,0.0286
AT5G13930,"ATCHS, CHALCONE SYNTHASE, CHS, TRANSPARENT TESTA 4, TT4",shoot,4h,1.06,0.0841
AT5G13930,"ATCHS, CHALCONE SYNTHASE, CHS, TRANSPARENT TESTA 4, TT4",shoot,24h,1.15,0.2016
AT5G13930,"ATCHS, CHALCONE SYNTHASE, CHS, TRANSPARENT TESTA 4, TT4",shoot,48h,1.52,0.6041
AT5G13930,"ATCHS, CHALCONE SYNTHASE, CHS, TRANSPARENT TESTA 4, TT4",shoot,96h,1.14,0.189
AT4G22880,"ANS, ANTHOCYANIDIN SYNTHASE, LDOX, LEUCOANTHOCYANIDIN DIOXYGENASE, TANNIN DEFICIENT SEED 4, TDS4, TT18",root,4h,0.3,-1.737
AT4G22880,"ANS, ANTHOCYANIDIN SYNTHASE, LDOX, LEUCOANTHOCYANIDIN DIOXYGENASE, TANNIN DEFICIENT SEED 4, TDS4, TT18",root,24h,0.73,-0.454
AT4G22880,"ANS, ANTHOCYANIDIN SYNTHASE, LDOX, LEUCOANTHOCYANIDIN DIOXYGENASE, TANNIN DEFICIENT SEED 4, TDS4, TT18",root,48h,2.39,1.257
AT4G22880,"ANS, ANTHOCYANIDIN SYNTHASE, LDOX, LEUCOANTHOCYANIDIN DIOXYGENASE, TANNIN DEFICIENT SEED 4, TDS4, TT18",root,96h,2.96,1.5656
AT4G22880,"ANS, ANTHOCYANIDIN SYNTHASE, LDOX, LEUCOANTHOCYANIDIN DIOXYGENASE, TANNIN DEFICIENT SEED 4, TDS4, TT18",shoot,4h,0.91,-0.1361
AT4G22880,"ANS, ANTHOCYANIDIN SYNTHASE, LDOX, LEUCOANTHOCYANIDIN DIOXYGENASE, TANNIN DEFICIENT SEED 4, TDS4, TT18",shoot,24h,1.44,0.5261
AT4G22880,"ANS, ANTHOCYANIDIN SYNTHASE, LDOX, LEUCOANTHOCYANIDIN DIOXYGENASE, TANNIN DEFICIENT SEED 4, TDS4, TT18",shoot,48h,1.66,0.7312
AT4G22880,"ANS, ANTHOCYANIDIN SYNTHASE, LDOX, LEUCOANTHOCYANIDIN DIOXYGENASE, TANNIN DEFICIENT SEED 4, TDS4, TT18",shoot,96h,1.06,0.0841
AT5G42800,"DFR, DIHYDROFLAVONOL 4-REDUCTASE, M318, TT3 Catalyzes the conversion of dihydroquercetin to leucocyanidin in the biosynthesis of anthocyanins",root,4h,0.11,-3.1844
AT5G42800,"DFR, DIHYDROFLAVONOL 4-REDUCTASE, M318, TT3 Catalyzes the conversion of dihydroquercetin to leucocyanidin in the biosynthesis of anthocyanins",root,24h,0.92,-0.1203
AT5G42800,"DFR, DIHYDROFLAVONOL 4-REDUCTASE, M318, TT3 Catalyzes the conversion of dihydroquercetin to leucocyanidin in the biosynthesis of anthocyanins",root,48h,2.57,1.3618
AT5G42800,"DFR, DIHYDROFLAVONOL 4-REDUCTASE, M318, TT3 Catalyzes the conversion of dihydroquercetin to leucocyanidin in the biosynthesis of anthocyanins",root,96h,0.39,-1.3585
AT5G42800,"DFR, DIHYDROFLAVONOL 4-REDUCTASE, M318, TT3 Catalyzes the conversion of dihydroquercetin to leucocyanidin in the biosynthesis of anthocyanins",shoot,4h,2.13,1.0909
AT5G42800,"DFR, DIHYDROFLAVONOL 4-REDUCTASE, M318, TT3 Catalyzes the conversion of dihydroquercetin to leucocyanidin in the biosynthesis of anthocyanins",shoot,24h,1.54,0.6229
AT5G42800,"DFR, DIHYDROFLAVONOL 4-REDUCTASE, M318, TT3 Catalyzes the conversion of dihydroquercetin to leucocyanidin in the biosynthesis of anthocyanins",shoot,48h,2.01,1.0072
AT5G42800,"DFR, DIHYDROFLAVONOL 4-REDUCTASE, M318, TT3 Catalyzes the conversion of dihydroquercetin to leucocyanidin in the biosynthesis of anthocyanins",shoot,96h,2.32,1.2141
AT1G61720,"BAN, BANYULS Negative regulator of flavonoid biosynthesis",root,4h,2.31,1.2079
AT1G61720,"BAN, BANYULS Negative regulator of flavonoid biosynthesis",root,24h,1.9,0.926
AT1G61720,"BAN, BANYULS Negative regulator of flavonoid biosynthesis",root,48h,1.49,0.5753
AT1G61720,"BAN, BANYULS Negative regulator of flavonoid biosynthesis",root,96h,1.82,0.8639
AT1G61720,"BAN, BANYULS Negative regulator of flavonoid biosynthesis",shoot,4h,1.9,0.926
AT1G61720,"BAN, BANYULS Negative regulator of flavonoid biosynthesis",shoot,24h,1.68,0.7485
AT1G61720,"BAN, BANYULS Negative regulator of flavonoid biosynthesis",shoot,48h,2.33,1.2203
AT1G61720,"BAN, BANYULS Negative regulator of flavonoid biosynthesis",shoot,96h,2.61,1.384
AT5G17030,UDP-glucoronosyl/UDP-glucosyl transferase family protein ,root,4h,2.13,1.0909
AT5G17030,UDP-glucoronosyl/UDP-glucosyl transferase family protein ,root,24h,2.0,1.0
AT5G17030,UDP-glucoronosyl/UDP-glucosyl transferase family protein ,root,48h,2.17,1.1177
AT5G17030,UDP-glucoronosyl/UDP-glucosyl transferase family protein ,root,96h,2.27,1.1827
AT5G17030,UDP-glucoronosyl/UDP-glucosyl transferase family protein ,shoot,4h,1.7,0.7655
AT5G17030,UDP-glucoronosyl/UDP-glucosyl transferase family protein ,shoot,24h,2.56,1.3561
AT5G17030,UDP-glucoronosyl/UDP-glucosyl transferase family protein ,shoot,48h,2.34,1.2265
AT5G17030,UDP-glucoronosyl/UDP-glucosyl transferase family protein ,shoot,96h,2.18,1.1243
AT5G66220,chalcone and stilbene synthase family protein ,root,4h,1.18,0.2388
AT5G66220,chalcone and stilbene synthase family protein ,root,24h,1.87,0.903
AT5G66220,chalcone and stilbene synthase family protein ,root,48h,2.33,1.2203
AT5G66220,chalcone and stilbene synthase family protein ,root,96h,2.89,1.5311
AT5G66220,chalcone and stilbene synthase family protein ,shoot,4h,2.05,1.0356
AT5G66220,chalcone and stilbene synthase family protein ,shoot,24h,1.94,0.9561
AT5G66220,chalcone and stilbene synthase family protein ,shoot,48h,2.39,1.257
AT5G66220,chalcone and stilbene synthase family protein ,shoot,96h,3.5,1.8074
AT5G43935,"ATFLS6, FLAVONOL SYNTHASE 6, FLS6",root,4h,2.39,1.257
AT5G43935,"ATFLS6, FLAVONOL SYNTHASE 6, FLS6",root,24h,1.98,0.9855
AT5G43935,"ATFLS6, FLAVONOL SYNTHASE 6, FLS6",root,48h,2.22,1.1506
AT5G43935,"ATFLS6, FLAVONOL SYNTHASE 6, FLS6",root,96h,2.01,1.0072
AT5G43935,"ATFLS6, FLAVONOL SYNTHASE 6, FLS6",shoot,4h,2.08,1.0566
AT5G43935,"ATFLS6, FLAVONOL SYNTHASE 6, FLS6",shoot,24h,2.19,1.1309
AT5G43935,"ATFLS6, FLAVONOL SYNTHASE 6, FLS6",shoot,48h,2.5,1.3219
AT5G43935,"ATFLS6, FLAVONOL SYNTHASE 6, FLS6",shoot,96h,2.56,1.3561
AT1G75290,similar to an isoflavone reductase,root,4h,2.53,1.3391
AT1G75290,similar to an isoflavone reductase,root,24h,2.03,1.0215
AT1G75290,similar to an isoflavone reductase,root,48h,2.3,1.2016
AT1G75290,similar to an isoflavone reductase,root,96h,2.09,1.0635
AT1G75290,similar to an isoflavone reductase,shoot,4h,2.12,1.0841
AT1G75290,similar to an isoflavone reductase,shoot,24h,2.3,1.2016
AT1G75290,similar to an isoflavone reductase,shoot,48h,2.75,1.4594
AT1G75290,similar to an isoflavone reductase,shoot,96h,2.98,1.5753
