tair_id,gene_name,tissue,time,ratio,log2_ratio
AT4G00040,chalcone and stilbene synthase family protein ,shoot,24h,1.14,0.189
AT4G00040,chalcone and stilbene synthase family protein ,shoot,48h,0.93,-0.1047
AT4G00040,chalcone and stilbene synthase family protein ,shoot,96h,1.01,0.0144
AT1G02050,"chalcone and stilbene synthase family protein LAP6, LESS ADHESIVE POLLEN 6, PKSA, POLYKETIDE SYNTHASE A",root,4h,0.93,-0.1047
AT1G02050,"chalcone and stilbene synthase family protein LAP6, LESS ADHESIVE POLLEN 6, PKSA, POLYKETIDE SYNTHASE A",root,24h,0.99,-0.0145
AT1G02050,"chalcone and stilbene synthase family protein LAP6, LESS ADHESIVE POLLEN 6, PKSA, POLYKETIDE SYNTHASE A",root,48h,0.93,-0.1047
AT1G02050,"chalcone and stilbene synthase family protein LAP6, LESS ADHESIVE POLLEN 6, PKSA, POLYKETIDE SYNTHASE A",root,96h,0.87,-0.2009
AT1G02050,"chalcone and stilbene synthase family protein LAP6, LESS ADHESIVE POLLEN 6, PKSA, POLYKETIDE SYNTHASE A",shoot,4h,1.05,0.0704
AT1G02050,"chalcone and stilbene synthase family protein LAP6, LESS ADHESIVE POLLEN 6, PKSA, POLYKETIDE SYNTHASE A",shoot,24h,0.97,-0.0439
AT1G02050,"chalcone and stilbene synthase family protein LAP6, LESS ADHESIVE POLLEN 6, PKSA, POLYKETIDE SYNTHASE A",shoot,48h,0.94,-0.0893
AT1G02050,"chalcone and stilbene synthase family protein LAP6, LESS ADHESIVE POLLEN 6, PKSA, POLYKETIDE SYNTHASE A",shoot,96h,0.94,-0.0893
AT1G48860,"5-ENOLPYRUVYLSHIKIMATE-3-PHOSPHATE SYNTHASE, EPSPS",root,4h,0.84,-0.2515
AT1G48860,"5-ENOLPYRUVYLSHIKIMATE-3-PHOSPHATE SYNTHASE, EPSPS",root,24h,0.96,-0.0589
AT1G48860,"5-ENOLPYRUVYLSHIKIMATE-3-PHOSPHATE SYNTHASE, EPSPS",root,48h,0.98,-0.0291
AT1G48860,"5-ENOLPYRUVYLSHIKIMATE-3-PHOSPHATE SYNTHASE, EPSPS",root,96h,0.9,-0.152
AT1G48860,"5-ENOLPYRUVYLSHIKIMATE-3-PHOSPHATE SYNTHASE, EPSPS",shoot,4h,0.89,-0.1681
AT1G48860,"5-ENOLPYRUVYLSHIKIMATE-3-PHOSPHATE SYNTHASE, EPSPS",shoot,24h,0.86,-0.2176
AT1G48860,"5-ENOLPYRUVYLSHIKIMATE-3-PHOSPHATE SYNTHASE, EPSPS",shoot,48h,0.95,-0.074
AT1G48860,"5-ENOLPYRUVYLSHIKIMATE-3-PHOSPHATE SYNTHASE, EPSPS",shoot,96h,0.96,-0.0589
AT1G50580,UDP-Glycosyltransferase superfamily protein,root,4h,0.95,-0.074
AT1G50580,UDP-Glycosyltransferase superfamily protein,root,24h,1.2,0.263
AT1G50580,UDP-Glycosyltransferase superfamily protein,root,48h,0.93,-0.1047
AT1G50580,UDP-Glycosyltransferase superfamily protein,root,96h,0.98,-0.0291
AT1G50580,UDP-Glycosyltransferase superfamily protein,shoot,4h,1.45,0.5361
AT1G50580,UDP-Glycosyltransferase superfamily protein,shoot,24h,0.77,-0.3771
AT1G50580,UDP-Glycosyltransferase superfamily protein,shoot,48h,0.96,-0.0589
AT1G50580,UDP-Glycosyltransferase superfamily protein,shoot,96h,2.19,1.1309
AT1G75300,similar to an isoflavone reductase,root,4h,0.95,-0.074
AT1G75300,similar to an isoflavone reductase,root,24h,0.77,-0.3771
AT1G75300,similar to an isoflavone reductase,root,48h,0.94,-0.0893
AT1G75300,similar to an isoflavone reductase,root,96h,0.98,-0.0291
AT1G75300,similar to an isoflavone reductase,shoot,4h,0.89,-0.1681
AT1G75300,similar to an isoflavone reductase,shoot,24h,1.05,0.0704
AT1G75300,similar to an isoflavone reductase,shoot,48h,0.99,-0.0145
AT1G75300,similar to an isoflavone reductase,shoot,96h,1.03,0.0426
AT1G75280,"isoflavone reductase, putative",root,4h,0.84,-0.2515
AT1G75280,"isoflavone reductase, putative",root,24h,0.93,-0.1047
AT1G75280,"isoflavone reductase, putative",root,48h,0.99,-0.0145
AT1G75280,"isoflavone reductase, putative",root,96h,1.1,0.1375
AT1G75280,"isoflavone reductase, putative",shoot,4h,0.8,-0.3219
AT1G75280,"isoflavone reductase, putative",shoot,24h,0.86,-0.2176
AT1G75280,"isoflavone reductase, putative",shoot,48h,0.99,-0.0145
AT1G75280,"isoflavone reductase, putative",shoot,96h,0.92,-0.1203
AT4G39230,"ATPCBER1, PCBER1, PHENYLCOUMARAN BENZYLIC ETHER REDUCTASE 1 catalyzes NADPH-dependent reduction of 8-5' linked lignans such as dehydrodiconiferyl alcohol to give isodihydrodehydrodiconiferyl alcohol.",root,4h,0.91,-0.1361
AT4G39230,"ATPCBER1, PCBER1, PHENYLCOUMARAN BENZYLIC ETHER REDUCTASE 1 catalyzes NADPH-dependent reduction of 8-5' linked lignans such as dehydrodiconiferyl alcohol to give isodihydrodehydrodiconiferyl alcohol.",root,24h,1.17,0.2265
AT4G39230,"ATPCBER1, PCBER1, PHENYLCOUMARAN BENZYLIC ETHER REDUCTASE 1 catalyzes NADPH-dependent reduction of 8-5' linked lignans such as dehydrodiconiferyl alcohol to give isodihydrodehydrodiconiferyl alcohol.",root,48h,0.97,-0.0439
AT4G39230,"ATPCBER1, PCBER1, PHENYLCOUMARAN BENZYLIC ETHER REDUCTASE 1 catalyzes NADPH-dependent reduction of 8-5' linked lignans such as dehydrodiconiferyl alcohol to give isodihydrodehydrodiconiferyl alcohol.",root,96h,1.08,0.111
AT4G39230,"ATPCBER1, PCBER1, PHENYLCOUMARAN BENZYLIC ETHER REDUCTASE 1 catalyzes NADPH-dependent reduction of 8-5' linked lignans such as dehydrodiconiferyl alcohol to give isodihydrodehydrodiconiferyl alcohol.",shoot,4h,0.81,-0.304
AT4G39230,"ATPCBER1, PCBER1, PHENYLCOUMARAN BENZYLIC ETHER REDUCTASE 1 catalyzes NADPH-dependent reduction of 8-5' linked lignans such as dehydrodiconiferyl alcohol to give isodihydrodehydrodiconiferyl alcohol.",shoot,24h,0.85,-0.2345
AT4G39230,"ATPCBER1, PCBER1, PHENYLCOUMARAN BENZYLIC ETHER REDUCTASE 1 catalyzes NADPH-dependent reduction of 8-5' linked lignans such as dehydrodiconiferyl alcohol to give isodihydrodehydrodiconiferyl alcohol.",shoot,48h,1.01,0.0144
AT4G39230,"ATPCBER1, PCBER1, PHENYLCOUMARAN BENZYLIC ETHER REDUCTASE 1 catalyzes NADPH-dependent reduction of 8-5' linked lignans such as dehydrodiconiferyl alcohol to give isodihydrodehydrodiconiferyl alcohol.",shoot,96h,0.93,-0.1047
AT5G07990,CYP75B1 Required for flavonoid 3' hydroxylase activity. Enzyme abundance relative to CHS determines Quercetin/Kaempferol metabolite ratio,root,4h,1.0,0.0
AT5G07990,CYP75B1 Required for flavonoid 3' hydroxylase activity. Enzyme abundance relative to CHS determines Quercetin/Kaempferol metabolite ratio,root,24h,0.96,-0.0589
AT5G07990,CYP75B1 Required for flavonoid 3' hydroxylase activity. Enzyme abundance relative to CHS determines Quercetin/Kaempferol metabolite ratio,root,48h,1.15,0.2016
AT5G07990,CYP75B1 Required for flavonoid 3' hydroxylase activity. Enzyme abundance relative to CHS determines Quercetin/Kaempferol metabolite ratio,root,96h,1.02,0.0286
AT5G07990,CYP75B1 Required for flavonoid 3' hydroxylase activity. Enzyme abundance relative to CHS determines Quercetin/Kaempferol metabolite ratio,shoot,4h,1.1,0.1375
AT5G07990,CYP75B1 Required for flavonoid 3' hydroxylase activity. Enzyme abundance relative to CHS determines Quercetin/Kaempferol metabolite ratio,shoot,24h,0.98,-0.0291
